timestamp,elapsed_ms,acc_x,acc_y,acc_z,acc_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude
1756078091684,4510,-3.459023,-12.305598,6.432023,14.309561,1.711879,-0.862198,0.291616,1.938802
1756078091734,4560,-3.459023,-12.305598,6.432023,14.309561,3.321625,-2.553437,0.394014,4.208145
1756078091745,4571,-3.548805,-12.487557,7.023391,14.760119,3.321625,-2.553437,0.394014,4.208145
1756078091796,4622,-0.987010,-8.750807,5.197213,10.225548,3.321625,-2.553437,0.394014,4.208145
1756078091807,4633,-0.987010,-8.750807,5.197213,10.225548,2.614823,-1.865277,0.108391,3.213768
1756078091857,4683,-2.888006,-7.093421,8.543110,11.473532,2.614823,-1.865277,0.108391,3.213768
1756078091869,4695,-2.888006,-7.093421,8.543110,11.473532,2.778208,-1.470996,0.243013,3.152986
1756078091920,4746,-2.888006,-7.093421,8.543110,11.473532,2.265416,-1.940910,0.568718,3.036887
1756078091931,4757,-0.682946,-5.094263,7.106589,8.770493,2.265416,-1.940910,0.568718,3.036887
1756078091975,4801,-0.682946,-5.094263,7.106589,8.770493,1.985651,-1.213602,0.245011,2.340015
1756078091988,4814,1.906383,-2.825757,6.291962,7.155975,1.985651,-1.213602,0.245011,2.340015
1756078092037,4863,1.906383,-2.825757,6.291962,7.155975,1.550225,-0.600542,0.279898,1.685880
1756078092050,4876,2.012326,-0.654216,3.342904,3.956320,1.550225,-0.600542,0.279898,1.685880
1756078092157,4983,1.949479,0.697910,2.649783,3.362870,1.550225,-0.600542,0.279898,1.685880
1756078092168,4994,1.949479,0.697910,2.649783,3.362870,-0.213452,0.443150,-0.156461,0.516162
1756078092217,5043,1.881244,-1.024120,4.558560,5.036702,-0.213452,0.443150,-0.156461,0.516162
1756078092228,5054,1.881244,-1.024120,4.558560,5.036702,-1.552755,1.343564,-0.590556,2.136578
1756078092273,5099,-0.049680,-2.380435,6.486491,6.909667,-1.552755,1.343564,-0.590556,2.136578
1756078092279,5105,-0.049680,-2.380435,6.486491,6.909667,-2.138783,1.750494,-0.826911,2.884858
1756078092334,5160,-2.234389,-6.206968,7.140108,9.721116,-2.138783,1.750494,-0.826911,2.884858
1756078092345,5171,-2.234389,-6.206968,7.140108,9.721116,-2.613624,1.542768,-0.705870,3.115994
1756078092397,5223,-2.234389,-6.206968,7.140108,9.721116,-3.250652,1.792439,-0.277768,3.722463
1756078092408,5234,-3.059191,-9.127295,7.456741,12.176582,-3.250652,1.792439,-0.277768,3.722463
1756078092459,5285,-3.162142,-10.623672,7.483676,13.374115,-3.250652,1.792439,-0.277768,3.722463
1756078092471,5297,-3.162142,-10.623672,7.483676,13.374115,-3.085936,1.754489,-0.209591,3.556003
1756078092519,5345,-2.981978,-11.208455,4.962582,12.615421,-3.085936,1.754489,-0.209591,3.556003
1756078092529,5355,-2.981978,-11.208455,4.962582,12.615421,-2.494581,0.937831,-0.075767,2.666121
1756078092598,5424,-2.981978,-11.208455,4.962582,12.615421,-1.735181,0.396278,-0.138218,1.785216
1756078092610,5436,-2.691681,-11.944074,4.138976,12.924286,-1.735181,0.396278,-0.138218,1.785216
1756078092660,5486,-4.604649,-9.165004,3.977368,11.000888,-1.735181,0.396278,-0.138218,1.785216
1756078092671,5497,-4.604649,-9.165004,3.977368,11.000888,0.099868,0.098670,-0.141147,0.199078
1756078092719,5545,-5.366004,-9.134478,1.296460,10.673027,0.099868,0.098670,-0.141147,0.199078
1756078092729,5555,-5.366004,-9.134478,1.296460,10.673027,0.045540,0.763927,0.301869,0.822669
1756078092778,5604,-5.366004,-9.134478,1.296460,10.673027,0.181361,-0.134756,0.121973,0.256765
1756078092790,5616,-4.047997,-9.862914,4.131195,11.433728,0.181361,-0.134756,0.121973,0.256765
1756078092842,5668,-2.397194,-9.135077,0.124498,9.445193,0.181361,-0.134756,0.121973,0.256765
1756078092853,5679,-2.397194,-9.135077,0.124498,9.445193,-0.430766,-0.053263,0.041678,0.436043
1756078092902,5728,-4.212598,-9.077017,2.740762,10.375451,-0.430766,-0.053263,0.041678,0.436043
1756078092914,5740,-4.212598,-9.077017,2.740762,10.375451,-0.364720,0.357795,-0.019974,0.511309
1756078093019,5845,-4.212598,-9.077017,2.740762,10.375451,-0.452870,-0.329433,-0.178432,0.587754
1756078093030,5856,-2.413355,-7.393295,1.564611,7.933038,-0.452870,-0.329433,-0.178432,0.587754
1756078093052,5878,-4.171896,-8.544906,2.061408,9.729827,-0.452870,-0.329433,-0.178432,0.587754
